reward,success_rate,actor_loss,critic_loss
-100.0,0.0,-0.21242710947990417,8.330560684204102
-100.0,0.0,-1.076798915863037,1.8237323760986328
-100.0,0.0,-1.0937111377716064,2.3652095794677734
-100.0,0.0,-1.054443359375,2.8316802978515625
-100.0,0.0,-1.2940549850463867,2.302664279937744
-100.0,0.0,-1.1992363929748535,1.2428224086761475
-100.0,0.0,-1.0685020685195923,0.6628862023353577
-100.0,0.0,-1.2315125465393066,1.3021657466888428
-100.0,0.0,-1.226889729499817,2.0524611473083496
-100.0,0.0,-1.0844216346740723,1.9167077541351318
-100.0,0.0,-1.2449872493743896,1.5347318649291992
-100.0,0.0,-1.3039093017578125,1.2034759521484375
-94.0,0.0,-1.1767373085021973,0.6044884920120239
-100.0,0.0,-1.2745436429977417,0.8786173462867737
-100.0,0.0,-1.262431025505066,1.0525474548339844
-100.0,0.0,-1.025660514831543,1.117592453956604
-100.0,0.0,-1.0076110363006592,1.174910306930542
-100.0,0.0,-1.2074456214904785,0.9356876015663147
-100.0,0.0,-1.276258111000061,0.6094943881034851
-96.0,0.0,-1.12236487865448,0.69805508852005
-100.0,0.0,-0.06801256537437439,0.7949873208999634
-100.0,0.0,0.14712078869342804,0.7418992519378662
-100.0,0.0,-0.014676261693239212,0.7228297591209412
-100.0,0.0,-0.1836453080177307,0.6686995029449463
-100.0,0.0,-0.2311093509197235,0.5304328799247742
-100.0,0.0,-0.1902533918619156,0.7438479065895081
-100.0,0.0,-0.2276335060596466,0.5105145573616028
-91.0,0.0,-0.06093551591038704,0.5545302033424377
-89.0,0.0,-0.18997099995613098,0.5730915665626526
-100.0,0.0,-0.21892261505126953,0.5056438446044922
-100.0,0.0,-0.23689019680023193,0.6147756576538086
-100.0,0.0,-0.2656494677066803,0.5982710719108582
-100.0,0.0,-0.2980629503726959,0.47969329357147217
-100.0,0.0,-0.25192949175834656,0.47952955961227417
-100.0,0.0,-0.4429817199707031,0.41858381032943726
