reward,success
-72.64614306070698,0.0
-68.84358492881077,0.0
-57.66771664561414,0.0
-45.570878478241056,0.0
-70.08361210967817,0.0
-74.38020598838946,0.0
-68.47074777069419,0.0
-77.66899709441054,0.0
-78.3523065101357,0.0
-68.54064952895766,0.0
-72.6395354877142,0.0
-53.38486249175316,0.0
-52.02694564304772,0.0
-63.34607806898584,0.0
-65.35362497792482,0.0
-45.19408717119351,0.0
-45.25603377828049,0.0
-57.35838449708386,0.0
-46.89186640005325,0.0
-83.35439776742899,0.0
-48.91668798479012,0.0
-70.4879642192372,0.0
-53.98428987690907,0.0
-51.2400506452462,0.0
-64.71997663267834,0.0
-66.777354101132,0.0
-39.96489994237131,0.0
-59.47046200110594,0.0
-59.69068431302017,0.0
-61.98487954179231,0.0
-40.06205258266597,0.0
-59.37629604048215,0.0
-52.04152178557645,0.0
-55.73152108897348,0.0
-59.153014170031916,0.0
-56.19932683254816,0.0
-71.25041425351993,0.0
-70.66666694537844,0.0
-46.93938139893549,0.0
-83.86166913635088,0.0
-41.20678880474505,0.0
-68.21063873084941,0.0
-71.18879290521905,0.0
-57.79050362787162,0.0
-55.91318175959087,0.0
-63.66133976400601,0.0
-54.028477717146636,0.0
-82.86384494906747,0.0
-52.8398565869825,0.0
-55.87238970257996,0.0
-65.2181647079551,0.0
-62.54658176776553,0.0
-39.482249167279704,0.0
-49.55944884244701,0.0
-44.10478753155088,0.0
-58.458789877893544,0.0
-51.85830959006669,0.0
-55.0676807503924,0.0
-35.00535173569298,0.0
-54.0850286064009,0.0
-74.07198457038189,0.0
-67.67440727389226,0.0
-41.850579309278196,0.0
-57.646242077958036,0.0
-47.27888629882396,0.0
-66.97341367926339,0.0
-35.793732883343,0.0
-41.28478931318271,0.0
-71.19995533897259,0.0
-49.72793036258575,0.0
-57.60424264958561,0.0
-49.92907164291233,0.0
-48.11823052477731,0.0
-72.15379254208985,0.0
-49.57662151203593,0.0
-64.07967107310512,0.0
-55.58145480173622,0.0
-72.12949608664357,0.0
-45.60637626197786,0.0
-63.91876495691983,0.0
-45.23580712144696,0.0
-65.1777054005763,0.0
-62.03281401451043,0.0
-68.09559001633207,0.0
-51.03610729319027,0.0
-37.055013138464325,0.0
-49.105722593270414,0.0
-45.585136397344485,0.0
-63.630752993766386,0.0
-56.677663820818495,0.0
-50.039858356165595,0.0
-51.109277928829194,0.0
-45.94501458285742,0.0
-54.62398259806574,0.0
-40.92154145092197,0.0
-35.52510944924239,0.0
-52.25515924746453,0.0
-51.6037599956625,0.0
-44.15355159886353,0.0
-55.94577637878956,0.0
-37.6698685719004,0.0
-46.430477718083736,0.0
-43.50166714578585,0.0
-63.391767948519565,0.0
-41.55678494451266,0.0
-35.533881638419864,0.0
-36.572752678877514,0.0
-25.744287759007648,0.0
-39.22816272103523,0.0
-41.33675096974519,0.0
-49.49849486093784,0.0
-46.41884569708289,0.0
-41.426320835483416,0.0
-40.19454396993797,0.0
-56.581539822939185,0.0
-53.21581937836689,0.0
-64.43447702115682,0.0
-53.22290480224245,0.0
-65.11480666018151,0.0
-45.584222568169096,0.0
-41.60431613861405,0.0
-44.9468254459763,0.0
-39.79411669092899,0.0
-45.07522336409161,0.0
-61.4981386285819,0.0
-43.71700143290089,0.0
-35.00215356779101,0.0
-51.26858055025973,0.0
-47.175311098604155,0.0
-50.93356074349086,0.0
-39.52039214983676,0.0
-56.673372664407054,0.0
-44.1935227315367,0.0
-36.26283082041823,0.0
-53.16231352241494,0.0
-46.675669881201166,0.0
-51.55465818575043,0.0
-48.09949347365028,0.0
-59.78419755016091,0.0
-54.02229870884444,0.0
-50.916681098850006,0.0
-24.708250420853783,0.0
-67.25583932096609,0.0
-62.72549369233,0.0
-44.10757917116543,0.0
-28.15715747937093,0.0
-40.77070885909014,0.0
-42.677677942386104,0.0
-55.97385500268882,0.0
-35.55925630877669,0.0
-44.509573670328656,0.0
-54.04430237882296,0.0
-29.957639747183386,0.0
-32.42982730890388,0.0
-38.82065902145867,0.0
-60.26972640165521,0.0
-52.05952678747816,0.0
-40.693646506581075,0.0
-48.54849701753357,0.0
-41.84447750102617,0.0
-42.785490323292755,0.0
-40.69936501298462,0.0
-36.297197252909804,0.0
-39.06684198790378,0.0
-48.49035198054663,0.0
-31.047025210960594,0.0
-55.70279388848445,0.0
-31.845396107884245,0.0
