reward,success
-63.29620818039335,0.0
-71.22787551296058,0.0
-34.02879330250786,0.0
-57.44762580667225,0.0
-68.27896078627877,0.0
-43.84292776133607,0.0
-37.44563562748646,0.0
-70.27411410122808,0.0
-58.731544414980405,0.0
-62.530973981656736,0.0
-49.34917060986603,0.0
-60.95491792139797,0.0
-66.8436687611409,0.0
-69.79802779133038,0.0
-79.0818024747845,0.0
-63.3955689379166,0.0
-68.5883616826869,0.0
-66.65671257996533,0.0
-55.84790721836274,0.0
-55.37256456361601,0.0
-62.906015683616495,0.0
-34.632844384231916,0.0
-34.113686048281515,0.0
-75.17651086000197,0.0
-72.01228257846978,0.0
-67.79555115154396,0.0
-78.36463797549838,0.0
-63.53486393513072,0.0
-36.64652227774088,0.0
-42.26570871963751,0.0
-61.59483507258633,0.0
-54.793259734728,0.0
-61.457735287165505,0.0
-53.359974411159335,0.0
-66.62706603610793,0.0
-71.35632532594629,0.0
-68.16806467492673,0.0
-72.4543093962028,0.0
-72.97885317133891,0.0
-64.49311735732398,0.0
-48.12734218449768,0.0
-64.87004814572694,0.0
-52.09663492780778,0.0
-59.08504022439975,0.0
-71.35975874603588,0.0
-36.696070397398,0.0
-44.71736426376953,0.0
-50.61265099477447,0.0
-55.143030851798194,0.0
-39.07128678137857,0.0
-56.39815238997734,0.0
-69.61361410289486,0.0
-54.161086735773395,0.0
-43.16599227827211,0.0
-52.4023266117886,0.0
-63.096217770430435,0.0
-57.96710035253574,0.0
-40.795963365025436,0.0
-80.02649044281418,0.0
-62.916939037987945,0.0
-54.976409941966665,0.0
-62.976469513953795,0.0
-58.784155408067825,0.0
-53.78208015114052,0.0
-66.25717979338293,0.0
-44.03781905775735,0.0
-79.4977278378444,0.0
-58.567602797776495,0.0
-53.26639299724807,0.0
-43.36674309593744,0.0
-40.591074130195295,0.0
-50.93230555664934,0.0
-52.086205234181335,0.0
-83.07348644225206,0.0
-58.405250507507404,0.0
-56.12086509927609,0.0
-71.60125280460169,0.0
-73.23685301534158,0.0
-55.32543655939717,0.0
-46.86276964446514,0.0
-74.22212215363103,0.0
-58.73921490449514,0.0
-64.5952531955151,0.0
-53.85558782561467,0.0
-74.50202297077924,0.0
-53.03398130734861,0.0
-34.607773786836596,0.0
-60.07503198819126,0.0
-35.2713896572997,0.0
-74.32528805289184,0.0
-47.572250885667124,0.0
-66.75400226462598,0.0
-67.41393962457612,0.0
-61.26607868001569,0.0
-30.776752437374274,0.0
-61.9257857847782,0.0
-53.33450293224778,0.0
-70.20805582764474,0.0
-45.34863786000962,0.0
-74.16408433688576,0.0
-60.11374578266487,0.0
-66.61518696327194,0.0
-72.74604129284457,0.0
-66.9081586684521,0.0
-73.68967124323646,0.0
-51.00607906579178,0.0
-72.39072248362257,0.0
-49.160340089350285,0.0
-47.07733654920077,0.0
-54.07530129342437,0.0
-82.50631819348823,0.0
-54.78713582267848,0.0
-52.27569537530394,0.0
-72.70700455845359,0.0
-60.06365000593471,0.0
-43.11492241925453,0.0
-79.72491346542104,0.0
-55.60818737511807,0.0
-70.07495104157223,0.0
-85.35420469226592,0.0
-52.873828366495815,0.0
-47.089024545352544,0.0
-76.12048110691701,0.0
-60.041334355608676,0.0
-47.11058636717866,0.0
-57.197740188178926,0.0
-78.87583005509592,0.0
-43.17620805027282,0.0
-52.39859092280897,0.0
-74.17233235371637,0.0
-44.753197429553786,0.0
-55.831403136312716,0.0
-43.56841185232614,0.0
-35.76385188660258,0.0
-55.26763218778227,0.0
-58.29062020884652,0.0
-61.649709323659415,0.0
-63.760180782492526,0.0
-33.21096170456501,0.0
-71.02927087176222,0.0
-67.40671887000592,0.0
-64.76095557030668,0.0
-54.90727908467337,0.0
-51.315377455223576,0.0
-49.02939072895484,0.0
-58.63604589129438,0.0
-72.42483766668357,0.0
-60.23604730541606,0.0
-70.67786445204328,0.0
-73.47155255017978,0.0
-45.50717747531279,0.0
-66.28261430133949,0.0
-61.893168401995304,0.0
-59.90059843401078,0.0
-40.36463008415462,0.0
-45.134948697378775,0.0
-62.56502127278676,0.0
-71.48914662677178,0.0
-74.8266897782541,0.0
-75.50408536530108,0.0
-65.23567817250378,0.0
-57.60267564648212,0.0
-41.51285630836519,0.0
-63.01593979709242,0.0
-67.04856435967353,0.0
-68.23388846819984,0.0
-82.63316029488283,0.0
-36.374834177989236,0.0
-60.488576301991486,0.0
-61.9294750585635,0.0
-72.17696209470044,0.0
-70.46035908645386,0.0
